src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,pkts_sent,pkts_received,duration_sec,avg_pkt_size,pkt_rate,syn_count,ack_count,fin_count,rst_count,psh_count,syn_ack_ratio,syn_fin_ratio,min_pkt_size,max_pkt_size,total_packets,total_bytes,traffic_type,packet_type,filter_stage,timestamp
10.207.139.174,10.207.139.196,53,36710,UDP,139,0,1,0,0.000001,139.00,1000000.00,0,0,0,0,0,0.000,0.000,139,139,1,139,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.358940
10.207.139.174,10.207.139.196,53,38126,UDP,246,0,1,0,0.000001,246.00,1000000.00,0,0,0,0,0,0.000,0.000,246,246,1,246,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.358979
10.207.139.174,10.207.139.196,53,55211,UDP,187,0,1,0,0.000001,187.00,1000000.00,0,0,0,0,0,0.000,0.000,187,187,1,187,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.358996
10.207.139.174,10.207.139.196,53,52792,UDP,112,0,1,0,0.000001,112.00,1000000.00,0,0,0,0,0,0.000,0.000,112,112,1,112,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359009
10.207.139.174,10.207.139.196,53,35381,UDP,171,0,1,0,0.000001,171.00,1000000.00,0,0,0,0,0,0.000,0.000,171,171,1,171,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359024
10.207.139.174,10.207.139.196,53,42013,UDP,136,0,1,0,0.000001,136.00,1000000.00,0,0,0,0,0,0.000,0.000,136,136,1,136,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359038
10.207.139.174,10.207.139.196,53,59487,UDP,153,0,1,0,0.000001,153.00,1000000.00,0,0,0,0,0,0.000,0.000,153,153,1,153,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359052
10.207.139.174,10.207.139.196,53,35429,UDP,294,0,1,0,0.000001,294.00,1000000.00,0,0,0,0,0,0.000,0.000,294,294,1,294,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359064
10.207.139.174,10.207.139.196,53,37841,UDP,136,0,1,0,0.000001,136.00,1000000.00,0,0,0,0,0,0.000,0.000,136,136,1,136,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359088
127.0.0.1,127.0.0.1,40260,5000,TCP,2986,39252,12,8,10.891779,2111.90,1.84,0,20,0,0,11,0.000,0.000,66,32834,20,42238,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359109
127.0.0.53,127.0.0.1,53,37072,UDP,348,0,2,0,0.001741,174.00,1148.77,0,0,0,0,0,0.000,0.000,150,198,2,348,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359123
127.0.0.53,127.0.0.1,53,58851,UDP,270,0,2,0,0.000743,135.00,2691.79,0,0,0,0,0,0.000,0.000,123,147,2,270,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359136
127.0.0.53,127.0.0.1,53,35411,UDP,562,0,2,0,0.001485,281.00,1346.80,0,0,0,0,0,0.000,0.000,257,305,2,562,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359149
127.0.0.53,127.0.0.1,53,41518,UDP,164,0,1,0,0.000001,164.00,1000000.00,0,0,0,0,0,0.000,0.000,164,164,1,164,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359161
127.0.0.53,127.0.0.1,53,41216,UDP,164,0,1,0,0.000001,164.00,1000000.00,0,0,0,0,0,0.000,0.000,164,164,1,164,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359173
127.0.0.53,127.0.0.1,53,39855,UDP,147,0,1,0,0.000001,147.00,1000000.00,0,0,0,0,0,0.000,0.000,147,147,1,147,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359185
127.0.0.53,127.0.0.1,53,41095,UDP,147,0,1,0,0.000001,147.00,1000000.00,0,0,0,0,0,0.000,0.000,147,147,1,147,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359197
127.0.0.1,127.0.0.1,40254,5000,TCP,1294,841,5,3,10.463491,266.88,0.76,0,8,0,0,4,0.000,0.000,66,608,8,2135,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359210
127.0.0.1,127.0.0.1,46244,5000,TCP,1164,786,8,6,0.054406,139.29,257.32,2,13,0,0,7,0.154,999.000,66,671,14,1950,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359225
10.207.139.174,10.207.139.196,53,60157,UDP,144,0,1,0,0.000001,144.00,1000000.00,0,0,0,0,0,0.000,0.000,144,144,1,144,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359238
10.207.139.174,10.207.139.196,53,35341,UDP,299,0,1,0,0.000001,299.00,1000000.00,0,0,0,0,0,0.000,0.000,299,299,1,299,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:09:02.359251
