src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,pkts_sent,pkts_received,duration_sec,avg_pkt_size,pkt_rate,syn_count,ack_count,fin_count,rst_count,psh_count,syn_ack_ratio,syn_fin_ratio,min_pkt_size,max_pkt_size,total_packets,total_bytes,traffic_type,packet_type,filter_stage,timestamp
1.1.1.1,10.207.139.196,53,49215,UDP,105,0,1,0,0.000001,105.00,1000000.00,0,0,0,0,0,0.000,0.000,105,105,1,105,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717307
127.0.0.1,127.0.0.1,5000,54700,TCP,374,216,5,3,32.204450,73.75,0.25,0,8,0,0,5,0.000,0.000,66,100,8,590,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717352
1.1.1.1,10.207.139.196,53,53880,UDP,213,0,1,0,0.000001,213.00,1000000.00,0,0,0,0,0,0.000,0.000,213,213,1,213,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717374
9.9.9.9,10.207.139.196,53,37985,UDP,166,0,1,0,0.000001,166.00,1000000.00,0,0,0,0,0,0.000,0.000,166,166,1,166,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717392
54.230.47.67,10.207.139.196,0,0,ICMP,294,0,3,0,2.015908,98.00,1.49,0,0,0,0,0,0.000,0.000,98,98,3,294,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717410
208.67.222.222,10.207.139.196,53,37753,UDP,86,0,1,0,0.000001,86.00,1000000.00,0,0,0,0,0,0.000,0.000,86,86,1,86,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717428
9.9.9.9,10.207.139.196,53,50300,UDP,182,0,1,0,0.000001,182.00,1000000.00,0,0,0,0,0,0.000,0.000,182,182,1,182,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717444
9.9.9.9,10.207.139.196,53,56875,UDP,203,0,1,0,0.000001,203.00,1000000.00,0,0,0,0,0,0.000,0.000,203,203,1,203,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717460
9.9.9.9,10.207.139.196,53,34982,UDP,86,0,1,0,0.000001,86.00,1000000.00,0,0,0,0,0,0.000,0.000,86,86,1,86,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717481
9.9.9.9,10.207.139.196,53,42323,UDP,154,0,1,0,0.000001,154.00,1000000.00,0,0,0,0,0,0.000,0.000,154,154,1,154,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717499
8.8.8.8,10.207.139.196,53,34349,UDP,149,0,1,0,0.000001,149.00,1000000.00,0,0,0,0,0,0.000,0.000,149,149,1,149,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717514
127.0.0.53,127.0.0.1,53,41415,UDP,286,0,2,0,0.000184,143.00,10869.57,0,0,0,0,0,0.000,0.000,131,155,2,286,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717530
9.9.9.9,10.207.139.196,53,47249,UDP,109,0,1,0,0.000001,109.00,1000000.00,0,0,0,0,0,0.000,0.000,109,109,1,109,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717545
9.9.9.9,10.207.139.196,53,52962,UDP,138,0,1,0,0.000001,138.00,1000000.00,0,0,0,0,0,0.000,0.000,138,138,1,138,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717561
9.9.9.9,10.207.139.196,53,60803,UDP,134,0,1,0,0.000001,134.00,1000000.00,0,0,0,0,0,0.000,0.000,134,134,1,134,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717576
208.67.222.222,10.207.139.196,53,33340,UDP,110,0,1,0,0.000001,110.00,1000000.00,0,0,0,0,0,0.000,0.000,110,110,1,110,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717592
9.9.9.9,10.207.139.196,53,32858,UDP,182,0,1,0,0.000001,182.00,1000000.00,0,0,0,0,0,0.000,0.000,182,182,1,182,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717607
9.9.9.9,10.207.139.196,53,53382,UDP,89,0,1,0,0.000001,89.00,1000000.00,0,0,0,0,0,0.000,0.000,89,89,1,89,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717623
9.9.9.9,10.207.139.196,53,60191,UDP,101,0,1,0,0.000001,101.00,1000000.00,0,0,0,0,0,0.000,0.000,101,101,1,101,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717640
1.1.1.1,10.207.139.196,53,36233,UDP,146,0,1,0,0.000001,146.00,1000000.00,0,0,0,0,0,0.000,0.000,146,146,1,146,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717660
127.0.0.53,127.0.0.1,53,58433,UDP,702,0,2,0,0.000362,351.00,5524.86,0,0,0,0,0,0.000,0.000,315,387,2,702,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717677
127.0.0.1,127.0.0.1,5000,55408,TCP,237,141,3,2,23.947846,75.60,0.21,0,5,0,0,3,0.000,0.000,66,100,5,378,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717694
127.0.0.1,127.0.0.1,36914,5000,TCP,715,425,6,4,0.004412,114.00,2266.55,2,9,1,0,3,0.222,2.000,66,282,10,1140,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717709
8.8.8.8,10.207.139.196,53,38847,UDP,86,0,1,0,0.000001,86.00,1000000.00,0,0,0,0,0,0.000,0.000,86,86,1,86,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717730
8.8.8.8,10.207.139.196,53,60853,UDP,98,0,1,0,0.000001,98.00,1000000.00,0,0,0,0,0,0.000,0.000,98,98,1,98,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717746
151.101.193.140,10.207.139.196,0,0,ICMP,98,0,1,0,0.000001,98.00,1000000.00,0,0,0,0,0,0.000,0.000,98,98,1,98,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T08:21:30.717763
