src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,pkts_sent,pkts_received,duration_sec,avg_pkt_size,pkt_rate,syn_count,ack_count,fin_count,rst_count,psh_count,syn_ack_ratio,syn_fin_ratio,min_pkt_size,max_pkt_size,total_packets,total_bytes,traffic_type,packet_type,filter_stage,timestamp
10.207.139.196,8.8.8.8,45231,53,UDP,64,128,1,1,0.1,96.0,10.0,0,0,0,0,0,0.0,0.0,64,128,2,192,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:14:13.921574
10.207.139.196,140.82.114.21,54321,443,TCP,256,3072,5,8,0.8,256.0,16.25,1,7,1,0,4,0.14,1.0,54,1460,13,3328,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:14:13.921605
10.207.139.196,93.184.216.34,33445,80,TCP,188,1456,3,5,0.3,205.5,26.67,1,4,1,0,2,0.25,1.0,54,1460,8,1644,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:14:13.921611
10.207.139.196,1.1.1.1,49152,53,UDP,72,144,1,1,0.05,108.0,40.0,0,0,0,0,0,0.0,0.0,72,144,2,216,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:14:13.921616
10.207.139.196,151.101.193.69,65432,443,TCP,312,2876,6,9,1.1,212.53,13.64,1,8,1,0,5,0.125,1.0,54,1460,15,3188,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:14:13.921620
127.0.0.1,127.0.0.1,45678,22,TCP,88,176,2,2,0.2,132.0,20.0,1,1,0,0,1,1.0,999.0,88,176,4,264,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:14:13.921624
