src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,pkts_sent,pkts_received,duration_sec,avg_pkt_size,pkt_rate,syn_count,ack_count,fin_count,rst_count,psh_count,syn_ack_ratio,syn_fin_ratio,min_pkt_size,max_pkt_size,total_packets,total_bytes,traffic_type,packet_type,filter_stage,timestamp
127.0.0.53,127.0.0.1,53,41908,UDP,608,0,2,0,0.001198,304.00,1669.45,0,0,0,0,0,0.000,0.000,232,376,2,608,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.412969
10.207.139.174,10.207.139.196,53,36255,UDP,221,0,1,0,0.000001,221.00,1000000.00,0,0,0,0,0,0.000,0.000,221,221,1,221,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413024
10.207.139.174,10.207.139.196,53,37629,UDP,365,0,1,0,0.000001,365.00,1000000.00,0,0,0,0,0,0.000,0.000,365,365,1,365,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413037
10.207.139.174,10.207.139.196,53,41582,UDP,339,0,1,0,0.000001,339.00,1000000.00,0,0,0,0,0,0.000,0.000,339,339,1,339,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413046
10.207.139.174,10.207.139.196,53,41742,UDP,195,0,1,0,0.000001,195.00,1000000.00,0,0,0,0,0,0.000,0.000,195,195,1,195,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413055
127.0.0.1,127.0.0.1,38206,5000,TCP,132,132,2,2,10.239973,66.00,0.39,0,4,0,0,0,0.000,0.000,66,66,4,264,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413063
127.0.0.1,127.0.0.1,41390,5000,TCP,132,66,2,1,10.240034,66.00,0.29,0,3,0,0,0,0.000,0.000,66,66,3,198,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413071
127.0.0.53,127.0.0.1,53,37394,UDP,556,0,2,0,0.000491,278.00,4073.32,0,0,0,0,0,0.000,0.000,206,350,2,556,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413091
10.207.139.174,10.207.139.196,53,47995,UDP,183,0,1,0,0.000001,183.00,1000000.00,0,0,0,0,0,0.000,0.000,183,183,1,183,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413100
10.207.139.174,10.207.139.196,53,56314,UDP,327,0,1,0,0.000001,327.00,1000000.00,0,0,0,0,0,0.000,0.000,327,327,1,327,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413108
127.0.0.53,127.0.0.1,53,36809,UDP,532,0,2,0,0.008748,266.00,228.62,0,0,0,0,0,0.000,0.000,194,338,2,532,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413115
10.207.139.174,10.207.139.196,53,40487,UDP,169,0,1,0,0.000001,169.00,1000000.00,0,0,0,0,0,0.000,0.000,169,169,1,169,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413123
10.207.139.174,10.207.139.196,53,53126,UDP,157,0,1,0,0.000001,157.00,1000000.00,0,0,0,0,0,0.000,0.000,157,157,1,157,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413131
10.207.139.174,10.207.139.196,53,41648,UDP,90,0,1,0,0.000001,90.00,1000000.00,0,0,0,0,0,0.000,0.000,90,90,1,90,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413139
10.207.139.174,10.207.139.196,53,59242,UDP,102,0,1,0,0.000001,102.00,1000000.00,0,0,0,0,0,0.000,0.000,102,102,1,102,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413147
127.0.0.53,127.0.0.1,53,38743,UDP,348,0,2,0,0.006395,174.00,312.74,0,0,0,0,0,0.000,0.000,168,180,2,348,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413165
127.0.0.53,127.0.0.1,53,50601,UDP,364,0,2,0,0.000068,182.00,29411.76,0,0,0,0,0,0.000,0.000,168,196,2,364,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413173
127.0.0.53,127.0.0.1,53,35950,UDP,240,0,2,0,0.000039,120.00,51282.05,0,0,0,0,0,0.000,0.000,114,126,2,240,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413180
127.0.0.53,127.0.0.1,53,54289,UDP,214,0,2,0,0.000520,107.00,3846.15,0,0,0,0,0,0.000,0.000,101,113,2,214,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413187
127.0.0.53,127.0.0.1,53,60598,UDP,536,0,2,0,0.000614,268.00,3257.33,0,0,0,0,0,0.000,0.000,196,340,2,536,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413193
10.207.139.174,10.207.139.196,53,46046,UDP,185,0,1,0,0.000001,185.00,1000000.00,0,0,0,0,0,0.000,0.000,185,185,1,185,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413201
10.207.139.174,10.207.139.196,53,50132,UDP,329,0,1,0,0.000001,329.00,1000000.00,0,0,0,0,0,0.000,0.000,329,329,1,329,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413209
127.0.0.53,127.0.0.1,53,49775,UDP,536,0,2,0,0.000701,268.00,2853.07,0,0,0,0,0,0.000,0.000,196,340,2,536,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:41:07.413216
