src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,pkts_sent,pkts_received,duration_sec,avg_pkt_size,pkt_rate,syn_count,ack_count,fin_count,rst_count,psh_count,syn_ack_ratio,syn_fin_ratio,min_pkt_size,max_pkt_size,total_packets,total_bytes,traffic_type,packet_type,filter_stage,timestamp
127.0.0.1,127.0.0.1,46028,5000,TCP,7572,2808,15,9,1.800941,432.50,13.33,0,24,0,0,18,0.000,0.000,66,837,24,10380,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271452
127.0.0.1,127.0.0.1,52750,5000,TCP,977,513,6,4,0.003215,149.00,3110.42,2,9,2,0,2,0.222,1.000,66,639,10,1490,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271499
127.0.0.1,127.0.0.1,46016,5000,TCP,2430,837,6,3,1.735859,363.00,5.18,0,9,0,0,6,0.000,0.000,66,744,9,3267,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271518
127.0.0.1,127.0.0.1,56912,5000,TCP,1039,478,7,4,0.009986,137.91,1101.54,2,9,1,1,4,0.222,2.000,54,639,11,1517,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271535
127.0.0.1,127.0.0.1,56914,5000,TCP,1063,686,7,7,0.010875,124.93,1287.36,2,13,2,0,6,0.154,1.000,66,639,14,1749,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271550
127.0.0.1,127.0.0.1,40696,5000,TCP,552,132,2,2,4.771949,171.00,0.84,0,4,0,0,1,0.000,0.000,66,486,4,684,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271564
127.0.0.1,127.0.0.1,40708,5000,TCP,776,730,4,5,13.759017,167.33,0.65,0,9,0,0,3,0.000,0.000,66,578,9,1506,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271579
127.0.0.1,127.0.0.1,5000,51652,TCP,137,75,2,1,0.001562,70.67,1920.61,0,3,0,0,2,0.000,0.000,66,75,3,212,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271594
127.0.0.53,127.0.0.1,53,52251,UDP,608,0,2,0,0.002076,304.00,963.39,0,0,0,0,0,0.000,0.000,232,376,2,608,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271615
127.0.0.53,127.0.0.1,53,60652,UDP,556,0,2,0,0.001535,278.00,1302.93,0,0,0,0,0,0.000,0.000,206,350,2,556,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271629
127.0.0.53,127.0.0.1,53,32777,UDP,556,0,2,0,0.001267,278.00,1578.53,0,0,0,0,0,0.000,0.000,206,350,2,556,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271642
10.207.139.174,10.207.139.196,53,48441,UDP,221,0,1,0,0.000001,221.00,1000000.00,0,0,0,0,0,0.000,0.000,221,221,1,221,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271659
10.207.139.174,10.207.139.196,53,56669,UDP,365,0,1,0,0.000001,365.00,1000000.00,0,0,0,0,0,0.000,0.000,365,365,1,365,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271675
10.207.139.174,10.207.139.196,53,49846,UDP,339,0,1,0,0.000001,339.00,1000000.00,0,0,0,0,0,0.000,0.000,339,339,1,339,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271689
10.207.139.174,10.207.139.196,53,49822,UDP,195,0,1,0,0.000001,195.00,1000000.00,0,0,0,0,0,0.000,0.000,195,195,1,195,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271712
10.207.139.174,10.207.139.196,53,46925,UDP,327,0,1,0,0.000001,327.00,1000000.00,0,0,0,0,0,0.000,0.000,327,327,1,327,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271729
127.0.0.53,127.0.0.1,53,56017,UDP,532,0,2,0,0.001266,266.00,1579.78,0,0,0,0,0,0.000,0.000,194,338,2,532,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271744
10.207.139.174,10.207.139.196,53,48915,UDP,183,0,1,0,0.000001,183.00,1000000.00,0,0,0,0,0,0.000,0.000,183,183,1,183,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271759
10.207.139.174,10.207.139.196,53,59885,UDP,128,0,1,0,0.000001,128.00,1000000.00,0,0,0,0,0,0.000,0.000,128,128,1,128,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271774
127.0.0.53,127.0.0.1,53,58259,UDP,139,0,1,0,0.000001,139.00,1000000.00,0,0,0,0,0,0.000,0.000,139,139,1,139,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:37:33.271788
